neighbourhood,lat,lon
Agincourt North,43.80544058,-79.26671217
Agincourt South-Malvern West,43.78865755,-79.2656118
Alderwood,43.6049369,-79.54161093
Annex,43.67158544,-79.40400062
Banbury-Don Mills,43.737657,-79.34971798
Bathurst Manor,43.76481331,-79.45605516
Bay Street Corridor,43.65751135,-79.38572125
Bayview Village,43.77636052,-79.37711686
Bayview Woods-Steeles,43.79680187,-79.38211795
Bedford Park-Nortown,43.73148623,-79.42022735
Beechborough-Greenbrook,43.69321649,-79.47947251
Bendale,43.76036631,-79.25740037
Birchcliffe-Cliffside,43.69468198,-79.26509259
Black Creek,43.76489025,-79.52197932
Blake-Jones,43.67617288,-79.33739417
Briar Hill-Belgravia,43.69902438,-79.4528513
Bridle Path-Sunnybrook-York Mills,43.73101314,-79.37890418
Broadview North,43.68882512,-79.35562951
Brookhaven-Amesbury,43.70132631,-79.48558926
Cabbagetown-South St.James Town,43.66764773,-79.36610666
Caledonia-Fairbank,43.68856865,-79.45521208
Casa Loma,43.6818521,-79.40800665
Centennial Scarborough,43.7823765,-79.15084327
Church-Yonge Corridor,43.65964886,-79.37901717
Clairlea-Birchmount,43.71359238,-79.28138178
Clanton Park,43.74197843,-79.44630258
Cliffcrest,43.72112117,-79.23552957
Corso Italia-Davenport,43.67766091,-79.44746933
Danforth,43.68402547,-79.32981941
Danforth-East York,43.68946809,-79.33140338
Don Valley Village,43.78329369,-79.35364413
Dorset Park,43.75927437,-79.27890794
Dovercourt-Wallace Emerson-Juncti,43.66567693,-79.4385407
Downsview-Roding-CFB,43.73329235,-79.49049735
Dufferin Grove,43.65542833,-79.43734104
East End-Danforth,43.68417388,-79.29935867
Edenbridge-Humber Valley,43.67088591,-79.52245776
Eglinton East,43.7409223,-79.24559804
Elms-Old Rexdale,43.72151887,-79.54898272
Englemount-Lawrence,43.72034467,-79.43740855
Eringate-Centennial-West Deane,43.65801676,-79.58044524
Etobicoke West Mall,43.64506262,-79.56893877
Flemingdon Park,43.71592975,-79.33264597
Forest Hill North,43.70421756,-79.42814316
Forest Hill South,43.69452576,-79.41431786
Glenfield-Jane Heights,43.74563575,-79.51346532
Greenwood-Coxwell,43.67261231,-79.32431802
Guildwood,43.74882934,-79.19505535
Henry Farm,43.77114414,-79.34124067
High Park North,43.65756491,-79.46630217
High Park-Swansea,43.64506458,-79.46787222
Highland Creek,43.79077477,-79.17747247
Hillcrest Village,43.80298783,-79.354804
Humber Heights-Westmount,43.6922328,-79.5224162
Humber Summit,43.75891975,-79.55617474
Humbermede,43.74342952,-79.54236712
Humewood-Cedarvale,43.69136981,-79.42768335
Ionview,43.73536441,-79.27247049
Islington-City Centre West,43.63346335,-79.54331654
Junction Area,43.66788977,-79.47143987
Keelesdale-Eglinton West,43.68572747,-79.47143711
Kennedy Park,43.72555572,-79.26038221
Kensington-Chinatown,43.65355413,-79.39723988
Kingsview Village-The Westway,43.69899257,-79.54786331
Kingsway South,43.65352043,-79.5105768
L'Amoreaux,43.79571603,-79.31408424
Lambton Baby Point,43.65742013,-79.49604526
Lansing-Westgate,43.75427115,-79.42474772
Lawrence Park North,43.73006017,-79.40397836
Lawrence Park South,43.7172117,-79.40603941
Leaside-Bennington,43.70379663,-79.36607234
Little Portugal,43.64753593,-79.43032271
Long Branch,43.59236169,-79.53334545
Malvern,43.8036582,-79.22251662
Maple Leaf,43.71557394,-79.48075802
Markland Wood,43.63354175,-79.57343155
Milliken,43.82069079,-79.27500892
Mimico,43.61592386,-79.50013664
Morningside,43.78239861,-79.20704119
Moss Park,43.65651762,-79.36729703
Mount Dennis,43.68814409,-79.49998906
Mount Olive-Silverstone-Jamestown,43.7468678,-79.58725926
Mount Pleasant East,43.70485217,-79.38492395
Mount Pleasant West,43.70443517,-79.39335955
New Toronto,43.6005886,-79.51035809
Newtonbrook East,43.79153579,-79.40593745
Newtonbrook West,43.78582994,-79.43142151
Niagara,43.63668088,-79.4124204
North Riverdale,43.67199515,-79.35126041
North St.James Town,43.66962341,-79.37524658
O'Connor-Parkview,43.70680049,-79.31222777
Oakridge,43.69740813,-79.27970834
Oakwood Village,43.68856556,-79.43978548
Old East York,43.69678127,-79.33548836
Palmerston-Little Italy,43.6591571,-79.41840873
Parkwoods-Donalda,43.75503347,-79.33017952
Pelmo Park-Humberlea,43.7175146,-79.5282822
Playter Estates-Danforth,43.67970047,-79.35488729
Pleasant View,43.78698176,-79.33494843
Princess-Rosethorn,43.6660506,-79.54455929
Regent Park,43.65999214,-79.36050881
Rexdale-Kipling,43.72372548,-79.56622841
Rockcliffe-Smythe,43.67479045,-79.49442045
Roncesvalles,43.64612299,-79.44299245
Rosedale-Moore Park,43.68282043,-79.3796694
Rouge,43.82120126,-79.18634345
Runnymede-Bloor West Village,43.65926882,-79.48570818
Rustic,43.71160912,-79.49809147
Scarborough Village,43.73865186,-79.21681262
South Parkdale,43.63669952,-79.43933783
South Riverdale,43.64929206,-79.33565132
St.Andrew-Windfields,43.75624583,-79.37903709
Steeles,43.81295883,-79.32120701
Stonegate-Queensway,43.63551813,-79.50112821
Tam O'Shanter-Sullivan,43.78012985,-79.30291871
Taylor-Massey,43.69499819,-79.29590112
The Beaches,43.67104999,-79.2996013
Thistletown-Beaumond Heights,43.73798792,-79.56349102
Thorncliffe Park,43.70774921,-79.34998361
Trinity-Bellwoods,43.6501763,-79.41534216
University,43.6625062,-79.40117975
Victoria Village,43.72848902,-79.31487383
Waterfront Communities-The Island,43.63388036,-79.37720231
West Hill,43.76749026,-79.17667603
West Humber-Clairville,43.7161804,-79.59635645
Westminster-Branson,43.77881322,-79.45241823
Weston,43.70271605,-79.51572255
Weston-Pellam Park,43.67396204,-79.46024391
Wexford/Maryvale,43.74857214,-79.29863657
Willowdale East,43.77060226,-79.40148379
Willowdale West,43.77121049,-79.4275578
Willowridge-Martingrove-Richview,43.68364496,-79.55422105
Woburn,43.76674024,-79.22858577
Woodbine Corridor,43.67677292,-79.31540738
Woodbine-Lumsden,43.69410674,-79.31116353
Wychwood,43.67691927,-79.42551495
Yonge-Eglinton,43.70468937,-79.40359017
Yonge-St.Clair,43.68785887,-79.39787077
York University Heights,43.76573649,-79.48888293
Yorkdale-Glen Park,43.71467153,-79.45710807
